tender_no.,agency,tender_description,award_date,tender_detail_status,supplier_name,awarded_amt
ACR000ETT14000007,Accounting And Corporate Regulatory Authority,Provision Of Event Management And Related Services For The Public Accountants Conference 2015. (There is a compulsory briefing on 13 Nov 14 at 10am at ACRA Boardroom. Only representatives who attended this compulsory briefing are eligible to participate in this tender).,2015-02-06,Awarded to No Suppliers,na,0
ACR000ETT14000008,Accounting And Corporate Regulatory Authority,Invitation To Tender For The Provision Of Alternate Business Continuity Plan (BCP) Site For ACRA,2015-04-30,Awarded to No Suppliers,na,0
ACR000ETT14000009,Accounting And Corporate Regulatory Authority,Invitation To Tender For The Provision Of Manpower Services (Facilities Officer) For ACRA,2015-01-28,Awarded to Suppliers,RMA CONTRACTS PTE. LTD.,76071.21
ACR000ETT15000004,Accounting And Corporate Regulatory Authority,Invitation To Tender For The Provision Of Manpower For Software Testing Services For ACRA,2015-07-01,Awarded to Suppliers,TESCOM (SINGAPORE) SOFTWARE SYSTEMS TESTING PTE LTD.,84000
ACR000ETT15000005,Accounting And Corporate Regulatory Authority,"Proposed Interior Fitting Out Works for ACRA's Office Space at 10 Anson Road, #05-19 & #05-01/15 (Part) International Plaza, Singapore 079903",2015-04-24,Awarded to Suppliers,MKS GLOBAL PTE. LTD.,653255
ACR000ETT15000006,Accounting And Corporate Regulatory Authority,Provision Of Smart Card Access Control System With Intrusion Detection System And Central Alarm Monitoring With Response Team For ACRA,2015-06-26,Awarded to Suppliers,CERTIS TECHNOLOGY (SINGAPORE) PTE. LTD.,87690
ACR000ETT15000009,Accounting And Corporate Regulatory Authority,Invitation to tender for the provision of services for Registered Filing Agents (RFAs) Compliance Review Programme,2015-08-14,Awarded to Suppliers,RHT COMPLIANCE SOLUTIONS PTE. LTD.,392000
ACR000ETT15000010,Accounting And Corporate Regulatory Authority,Invitation To Tender For The Provision Of Cleaning Services For Accounting And Corporate Regulatory Authority For A Period Of 2 Years With An Option To Renew For 1 Year.,2015-07-30,Awarded to Suppliers,CLEANMAGE PTE. LTD.,122400
ACR000ETT15000011,Accounting And Corporate Regulatory Authority,Invitation to Tender for the provision of consultancy services to review ACRA's business processes and service delivery.,2015-11-23,Awarded to Suppliers,SOLUTIONSATWORK PTE. LTD.,320000
ACR000ETT15000013,Accounting And Corporate Regulatory Authority,Invitation to Tender (ITT) for the Provision of Consultancy Services to Assess the Feasibility of a Re-Domiciliation Regime in Singapore,2016-02-19,Awarded to Suppliers,RHTLAW TAYLOR WESSING LLP,250000
ACR000ETT16000001,Accounting And Corporate Regulatory Authority,INVITATION TO TENDER FOR THE PROVISION OF SERVICES FOR REGISTERED FILING AGENTS (RFAs) COMPLIANCE REVIEW PROGRAMME,2016-06-01,Awarded to Suppliers,DELOITTE & TOUCHE ENTERPRISE RISK SERVICES PTE LTD,170000
ACR000ETT16000001,Accounting And Corporate Regulatory Authority,INVITATION TO TENDER FOR THE PROVISION OF SERVICES FOR REGISTERED FILING AGENTS (RFAs) COMPLIANCE REVIEW PROGRAMME,2016-06-01,Awarded to Suppliers,PricewaterhouseCoopers Management Services Pte Ltd,199000
ACR000ETT16000002,Accounting And Corporate Regulatory Authority,"INVITATION TO TENDER FOR SUPPLY, DESIGN, PRINTING, BULK MAILING & DELIVERY SERVICES FOR PRESSURE SEAL FORMS",2016-09-14,Awarded to Suppliers,JK TRUDATA SOLUTIONS PTE. LTD.,5967
ACR000ETT16000003,Accounting And Corporate Regulatory Authority,INVITATION TO TENDER FOR THE PROVISION OF REVIEW SERVICES ON EXTENSIBLE BUSINESS REPORTING LANGUAGE (XBRL) FINANCIAL STATEMENTS TO THE ACCOUNTING AND CORPORATE REGULATORY AUTHORITY,2016-12-14,Awarded to Suppliers,BDO CONSULTANTS PTE. LTD.,86400
ACR000ETT16000005,Accounting And Corporate Regulatory Authority,INVITATION TO TENDER (ITT) FOR THE PROVISION OF SAAS SOLUTION E-TRAINING MANAGEMENT SYSTEM (eTMS) INCLUDING COURSEWARE,2017-01-25,Awarded to Suppliers,WIZLEARN TECHNOLOGIES PTE. LTD.,137600
ACR000ETT17000003,Accounting And Corporate Regulatory Authority,INVITATION TO TENDER (ITT) FOR THE PROVISION OF SERVICES FOR REGISTERED FILING AGENTS (RFAs) COMPLIANCE REVIEW PROGRAMME,2017-06-02,Awarded to Suppliers,DELOITTE & TOUCHE ENTERPRISE RISK SERVICES PTE LTD,192000
ACR000ETT17000003,Accounting And Corporate Regulatory Authority,INVITATION TO TENDER (ITT) FOR THE PROVISION OF SERVICES FOR REGISTERED FILING AGENTS (RFAs) COMPLIANCE REVIEW PROGRAMME,2017-06-02,Awarded to Suppliers,PRICEWATERHOUSECOOPERS RISK SERVICES PTE. LTD.,396000
ACR000ETT17000004,Accounting And Corporate Regulatory Authority,"Provision of Recruitment Services for Job Positions in ACRA for a period of 2 years, with the option to renew for another 1 year",2017-08-18,Awarded to Suppliers,MCI CAREER SERVICES PTE. LTD.,200000
ACR000ETT17000004,Accounting And Corporate Regulatory Authority,"Provision of Recruitment Services for Job Positions in ACRA for a period of 2 years, with the option to renew for another 1 year",2017-08-18,Awarded to Suppliers,Michael Page International,200000
AGC000ETT14000010,Attorney-General's Chambers,"Invitation To Tender for The Design, Develop, Install, Implement, Commission and Maintenance of the Enterprise Single Sign-On System",2015-05-04,Awarded to Suppliers,Ufinity Pte Ltd,300174
AGC000ETT14000011,Attorney-General's Chambers,"Invitation To Tender for The Supply, Delivery, Support of E-Discovery Software with an option for maintenance of software",2015-01-28,Awarded to Suppliers,NCS PTE. LTD.,243000
AGC000ETT14000012,Attorney-General's Chambers,Invitation To Tender for The Provision of Integrated Facilities Management for The Attorney-General's Chambers at 1 Upper Pickering Street For Three (3) Years With An Option To Extend For Two (2) Years,2015-03-09,Awarded to Suppliers,PROPELL INTEGRATED PTE LTD,1747000
AGC000ETT15000002,Attorney-General's Chambers,"Invitation To Tender for the Supply, Delivery, Support of Microsoft Licenses from Microsoft Government Licensing Programme (MGLP) for Attorney-General's Chambers (AGC) - MGLP SELECT PLUS Agreement Number 6255037",2015-04-29,Awarded to Suppliers,UIC Asian Computer Services Pte Ltd,181836.2
AGC000ETT15000003,Attorney-General's Chambers,Invitation To Tender for Minor Renovation Works at Level 14 for The Attorney-General's Chambers,2015-06-02,Awarded to Suppliers,NEEW PTE. LTD.,51918.5
AGC000ETT15000004,Attorney-General's Chambers,Invitation To Tender for Application Maintenance and Support for Enterprise Legal Management System (ELMS) for Attorney-General's Chambers,2015-07-16,Awarded to No Suppliers,na,0
AGC000ETT15000005,Attorney-General's Chambers,"Invitation To Tender For The Supply, Design, Configuration, Customisation, Testing, Installation And Commissioning Of A Fully Operational Enterprise Search Engine With An Option For Maintenance For The Attorney-General's Chambers",2015-09-14,Awarded to Suppliers,TAIGER SPAIN S.L.,1050267.62
AGC000ETT15000006,Attorney-General's Chambers,"INVITATION TO TENDER FOR RENOVATION WORKS TO THE LITIGATION SUPPORT ROOMS AT LEVEL 9,10 AND 12 OF ATTORNEY-GENERAL'S CHAMBERS",2015-08-05,Awarded to Suppliers,NEEW PTE. LTD.,55400
AGC000ETT15000007,Attorney-General's Chambers,"The Government of the Republic of Singapore, acting through the Attorney-Generals Chambers, invites Tenderers to submit Tender Offers for the contract to provide services for the management and operation of the AGCs Chan Sek Keong Library. The contract shall be for a term of one year, from 1 April 2016 to 31 March 2017, with an option for the Government to extend the contract for another year at the end of each consecutive year until 31 March 2019.",2015-11-04,Awarded to Suppliers,CIVICA PTE. LTD.,919080
AGC000ETT15000008,Attorney-General's Chambers,Invitation To Tender For The Provision Of A Leadership Training and Development Programme For The Crime Cluster Divisions Of The Attorney-General's Chambers.,2015-11-26,Awarded to Suppliers,PRICEWATERHOUSECOOPERS CONSULTING (SINGAPORE) PTE. LTD.,520000
AGC000ETT15000009,Attorney-General's Chambers,INVITATION TO TENDER (ITT) FOR THE PROVISION OF PRINTING AND/OR SCANNING SERVICES FOR THE ATTORNEY-GENERALS CHAMBERS,2015-11-03,Awarded to Suppliers,Fuji Xerox Singapore Pte Ltd,996648
AGC000ETT15000014,Attorney-General's Chambers,"ITT for the supply, design, configuration, customisation, testing, installation and commissioning of a fully operational AGC Sentencing Repository with an option for maintenance",2015-11-27,Awarded to Suppliers,ZWAAN PTE. LTD.,331250
AGC000ETT15000015,Attorney-General's Chambers,"Supplier is to provide hardware devices (iOS and Andriod) including accessories (casing and screen protector), SIM card and services to package the accessories (paste screen protector, insert SIM card and put in casing) for delivery. In addition, the supplier is to provide mobile data lines for subscription.",2016-01-22,Awarded to Suppliers,SINGAPORE TELECOMMUNICATIONS LIMITED,166403.8
AGC000ETT15000017,Attorney-General's Chambers,"Invitation To Tender (ITT) for the Supply, Design, Development, Delivery, Testing, Installation and Commissioning of a Fully Operational Singapore Statutes Online (""SSO"") with an Option for Maintenance",2016-03-01,Awarded to Suppliers,SMART-WARES PTE. LTD.,1573726
AGC000ETT15000018,Attorney-General's Chambers,INVITATION TO TENDER FOR THE PROVISION OF TWO RUNS OF A 2-DAY WRITTEN ADVOCACY COURSE TO PARTICIPANTS FROM THE ATTORNEY-GENERALS CHAMBERS,2015-12-22,Awarded to No Suppliers,na,0
AGC000ETT15000019,Attorney-General's Chambers,Invitation To Tender for the provision of offsite disaster Recovery facilities management and hosting services,2016-04-21,Awarded to Suppliers,NCS PTE. LTD.,232450.28
AGC000ETT15000020,Attorney-General's Chambers,"Invitation To Tender (ITT) for Supply, Delivery, Installation, Implementation and Maintenance of Asset Management System for AGC",2016-04-06,Awarded to Suppliers,RAPTECH PTE. LTD.,605489
AGC000ETT16000001,Attorney-General's Chambers,"INVITATION TO TENDER FOR THE SUPPLY, DELIVERY, INSTALLATION AND TESTING OF MOBILE WIFI ROUTER DEVICES AND MOBILE LINES WITH DATA PLAN SUBSCRIPTION",2016-05-10,Awarded to Suppliers,BTW Technology Pte Ltd,197064.3
AGC000ETT16000003,Attorney-General's Chambers,INVITATION TO TENDER FOR APPLICATION MAINTENANCE AND SUPPORT FOR ENTERPRISE LEGAL MANAGEMENT SYSTEM (ELMS) FOR ATTORNEY-GENERAL'S CHAMBERS,2016-04-27,Awarded to Suppliers,NOVACITYNETS PTE LTD,2640325
AGC000ETT16000004,Attorney-General's Chambers,"ITT FOR THE PROVISION OF APPLICATION MAINTENANCE AND SUPPORT FOR THE SPYDUS LIBRARY SYSTEM FOR THE ATTORNEY-GENERALS CHAMBER, THE SUPREME COURT AND THE STATE COURTS",2016-09-16,Awarded to Suppliers,CIVICA PTE. LTD.,395374
AGC000ETT16000005,Attorney-General's Chambers,INVITATION TO TENDER FOR THE PROVISION OF OFFSITE STORAGE FOR THE ATTORNEY-GENERAL'S CHAMBERS FOR A PERIOD OF TWO (2) YEARS WITH AN OPTION TO EXTEND FOR ONE (1) YEAR,2016-09-15,Awarded to No Suppliers,na,0
AGC000ETT16000007,Attorney-General's Chambers,"To conduct security risk assessment, review existing security measures and develop security protection plan and security procedures for Attorney-General's Chambers.",2016-09-29,Awarded to Suppliers,JACOBS INTERNATIONAL CONSULTANTS PTE. LTD.,52400
AGC000ETT16000011,Attorney-General's Chambers,INVITATION TO TENDER FOR THE PROVISION OF: I) REAL TIME TRANSCRIPTION SERVICES, AND (II)TRANSCRIPTION SERVICES FROM AUDIO OR VIDEO RECORDINGS (OPTIONAL),2017-02-17,Awarded to Suppliers,EPIQ SINGAPORE PTE. LTD.
